"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 06 14:56:20 GMT 2023","Tue Jun 06 14:56:20 GMT 2023","232","","","","","","Get by id",""
"passed","Tue Jun 06 14:56:19 GMT 2023","Tue Jun 06 14:56:20 GMT 2023","709","","","","","","Get all post",""
"failed","Tue Jun 06 14:56:21 GMT 2023","Tue Jun 06 14:56:21 GMT 2023","202","","","","","","Get PUT post",""
"passed","Tue Jun 06 14:56:20 GMT 2023","Tue Jun 06 14:56:21 GMT 2023","267","","","","","","Get POST post",""
